Canal,Nombre,Media_Pos,Std_Pos,Media_Neg,Std_Neg,Delta,Rango_Discriminativo
0,S2-B2 Azul,0.892,0.1262,0.9679,0.1434,-0.0759,6
1,S2-B3 Verde,0.8896,0.2072,0.9682,0.215,-0.0786,5
2,S2-B4 Rojo,0.9324,0.3101,0.9882,0.3077,-0.0558,8
3,S2-B8 NIR,0.9667,0.5894,0.9743,0.5409,-0.0076,14
4,S2-B8A NIR-A,1.0397,0.4656,1.0176,0.4458,0.0221,11
5,S2-B11 SWIR1,1.0288,0.4121,1.0462,0.4705,-0.0174,12
6,S2-B12 SWIR2,1.0132,0.4263,1.0428,0.4918,-0.0297,10
7,S1-VV SAR,1.0315,0.4613,1.0443,0.5151,-0.0129,13
8,S1-VH SAR,1.2488,0.4965,1.0606,0.5118,0.1882,4
9,ALOS DEM,1.2739,0.7996,1.0786,0.4194,0.1954,3
10,DEM Slope,1.0703,0.5341,1.0274,0.54,0.043,9
11,S2-B5 RedEdge1,1.0769,0.6954,1.0113,0.6593,0.0656,7
12,S2-B6 RedEdge2,1.4782,0.5803,0.9157,0.6851,0.5625,2
13,S2-B7 RedEdge3,2.0209,1.048,1.2136,0.9889,0.8073,1
